1-Nearest Neighbor, Overall Accuracy = 90.70%
Testing Time = 16355ms
Classification Rate for each digit:
[0: 98.89%,	1: 99.07%,	2: 95.15%,	3: 83.00%,	4: 88.79%,	5: 86.96%,	6: 95.60%,	7: 83.96%,	8: 86.41%,	9: 90.00%,]

Confusion Matrix:
		0		1		2		3		4		5		6		7		8		9
0	[98.89%	0.00%	0.00%	0.00%	0.00%	0.00%	1.11%	0.00%	0.00%	0.00%	]
1	[0.00%	99.07%	0.00%	0.00%	0.93%	0.00%	0.00%	0.00%	0.00%	0.00%	]
2	[0.97%	0.97%	95.15%	1.94%	0.00%	0.00%	0.00%	0.97%	0.00%	0.00%	]
3	[0.00%	0.00%	3.00%	83.00%	0.00%	6.00%	0.00%	2.00%	5.00%	1.00%	]
4	[0.93%	0.93%	0.00%	0.00%	88.79%	0.00%	2.80%	0.00%	0.00%	6.54%	]
5	[1.09%	0.00%	0.00%	5.43%	0.00%	86.96%	2.17%	0.00%	4.35%	0.00%	]
6	[0.00%	2.20%	1.10%	0.00%	1.10%	0.00%	95.60%	0.00%	0.00%	0.00%	]
7	[0.94%	3.77%	1.89%	0.94%	0.94%	0.00%	0.00%	83.96%	0.00%	7.55%	]
8	[0.00%	1.94%	0.97%	1.94%	0.97%	2.91%	0.00%	1.94%	86.41%	2.91%	]
9	[0.00%	0.00%	0.00%	2.00%	3.00%	2.00%	0.00%	1.00%	2.00%	90.00%	]
