epoch	accuracy
 288		81.78%
 289		81.78%
 290		81.78%
 291		81.78%
 292		81.78%
 293		81.78%
 294		81.78%
 295		81.78%
 296		81.78%
 297		81.78%
 298		81.78%
 299		81.78%
 300		81.78%
 301		81.78%
 302		81.78%
 303		81.78%
 304		81.78%
 305		81.78%
 306		81.78%
 307		81.78%
 308		81.78%
 309		81.78%
 310		81.78%
 311		81.78%
 312		81.78%
 313		81.78%
 314		81.78%
 315		81.78%
 316		81.78%
 317		81.78%
 318		81.78%
 319		81.78%
 320		81.78%
 321		81.78%
 322		81.78%
 323		81.78%
 324		81.78%
 325		81.78%
 326		81.78%
 327		81.78%
 328		81.78%
 329		81.78%
 330		81.78%
 331		81.78%
 332		81.78%
 333		81.78%
 334		81.78%
 335		81.78%
 336		81.78%
 337		81.78%
 338		81.78%
 339		81.78%
 340		81.78%
 341		81.78%
 342		81.78%
 343		81.78%
 344		81.78%
 345		81.78%
 346		81.78%
 347		81.78%
 348		81.78%
 349		81.78%
 350		81.78%
 351		81.78%
 352		81.78%
 353		81.78%
 354		81.78%
 355		81.78%
 356		81.78%
 357		81.78%
 358		81.78%
 359		81.78%
 360		81.78%
 361		81.78%
 362		81.78%
 363		81.78%
 364		81.78%
 365		81.78%
 366		81.78%
 367		81.78%
 368		81.78%
 369		81.78%
 370		81.78%
 371		81.78%
 372		81.78%
 373		81.78%
 374		81.78%
 375		81.78%
 376		81.78%
 377		81.78%
 378		81.78%
 379		81.78%
 380		81.78%
 381		81.78%
 382		81.78%
 383		81.78%
 384		81.78%
 385		81.78%
 386		81.78%
 387		81.78%
 388		81.78%
 389		81.78%
 390		81.78%
 391		81.78%
 392		81.78%
 393		81.78%
 394		81.78%
 395		81.78%
 396		81.78%
 397		81.78%
 398		81.78%
 399		81.78%
 400		81.78%
 401		81.78%
 402		81.78%
 403		81.78%
 404		81.78%
 405		81.78%
 406		81.78%
 407		81.78%
 408		81.78%
 409		81.78%
 410		81.78%
 411		81.78%
 412		81.78%
 413		81.78%
 414		81.78%
 415		81.78%
 416		81.78%
 417		81.78%
 418		81.78%
 419		81.78%
 420		81.78%
 421		81.78%
 422		81.78%
 423		81.78%
 424		81.78%
 425		81.78%
 426		81.78%
 427		81.78%
 428		81.78%
 429		81.78%
 430		81.78%
 431		81.78%
 432		81.78%
 433		81.78%
 434		81.78%
 435		81.78%
 436		81.78%
 437		81.78%
 438		81.78%
 439		81.78%
 440		81.78%
 441		81.78%
 442		81.78%
 443		81.78%
 444		81.78%
 445		81.78%
 446		81.78%
 447		81.78%
 448		81.78%
 449		81.78%
 450		81.78%
 451		81.78%
 452		81.78%
 453		81.78%
 454		81.78%
 455		81.78%
 456		81.78%
 457		81.78%
 458		81.78%
 459		81.78%
 460		81.78%
 461		81.78%
 462		81.78%
 463		81.78%
 464		81.78%
 465		81.78%
 466		81.78%
 467		81.78%
 468		81.78%
 469		81.78%
 470		81.78%
 471		81.78%
 472		81.78%
 473		81.78%
 474		81.78%
 475		81.78%
 476		81.78%
 477		81.78%
 478		81.78%
 479		81.78%
 480		81.78%
 481		81.78%
 482		81.78%
 483		81.78%
 484		81.78%
 485		81.78%
 486		81.78%
 487		81.78%
 488		81.78%
 489		81.78%
 490		81.78%
 491		81.78%
 492		81.78%
 493		81.78%
 494		81.78%
 495		81.78%
 496		81.78%
 497		81.78%
 498		81.78%
 499		81.78%
 500		81.78%
 501		81.78%
 502		81.78%
 503		81.78%
 504		81.78%
 505		81.78%
 506		81.78%
 507		81.78%
 508		81.78%
 509		81.78%
 510		81.78%
 511		81.78%
 512		81.78%
 513		81.78%
 514		81.78%
 515		81.78%
 516		81.78%
 517		81.78%
 518		81.78%
 519		81.78%
 520		81.78%
 521		81.78%
 522		81.78%
 523		81.78%
 524		81.78%
 525		81.78%
 526		81.78%
 527		81.78%
 528		81.78%
 529		81.78%
 530		81.78%
 531		81.78%
 532		81.78%
 533		81.78%
 534		81.78%
 535		81.78%
 536		81.78%
 537		81.78%
 538		81.78%
 539		81.78%
 540		81.78%
 541		81.78%
 542		81.78%
 543		81.78%
 544		81.78%
 545		81.78%
 546		81.78%
 547		81.78%
 548		81.78%
 549		81.78%
 550		81.78%
 551		81.78%
 552		81.78%
 553		81.78%
 554		81.78%
 555		81.78%
 556		81.78%
 557		81.78%
 558		81.78%
 559		81.78%
 560		81.78%
 561		81.78%
 562		81.78%
 563		81.78%
 564		81.78%
 565		81.78%
 566		81.78%
 567		81.78%
 568		81.78%
 569		81.78%
 570		81.78%
 571		81.78%
 572		81.78%
 573		81.78%
 574		81.78%
 575		81.78%
 576		81.78%
 577		81.78%
 578		81.78%
 579		81.78%
 580		81.78%
 581		81.78%
 582		81.78%
 583		81.78%
 584		81.78%
 585		81.78%
 586		81.78%
 587		81.78%
 588		81.78%
 589		81.78%
 590		81.78%
 591		81.78%
 592		81.78%
 593		81.78%
 594		81.78%
 595		81.78%
 596		81.78%
 597		81.78%
 598		81.78%
 599		81.78%
 600		81.78%
 601		81.78%
 602		81.78%
 603		81.78%
 604		81.78%
 605		81.78%
 606		81.78%
 607		81.78%
 608		81.78%
 609		81.78%
 610		81.78%
 611		81.78%
 612		81.78%
 613		81.78%
 614		81.78%
 615		81.78%
 616		81.78%
 617		81.78%
 618		81.78%
 619		81.78%
 620		81.78%
 621		81.78%
 622		81.78%
 623		81.78%
 624		81.78%
 625		81.78%
 626		81.78%
 627		81.78%
 628		81.78%
 629		81.78%
 630		81.78%
 631		81.78%
 632		81.78%
 633		81.78%
 634		81.78%
 635		81.78%
 636		81.78%
 637		81.78%
 638		81.78%
 639		81.78%
 640		81.78%
 641		81.78%
 642		81.78%
 643		81.78%
 644		81.78%
 645		81.78%
 646		81.78%
 647		81.78%
 648		81.78%
 649		81.78%
 650		81.78%
 651		81.78%
 652		81.78%
 653		81.78%
 654		81.78%
 655		81.78%
 656		81.78%
 657		81.78%
 658		81.78%
 659		81.78%
 660		81.78%
 661		81.78%
 662		81.78%
 663		81.78%
 664		81.78%
 665		81.78%
 666		81.78%
 667		81.78%
 668		81.78%
 669		81.78%
 670		81.78%
 671		81.78%
 672		81.78%
 673		81.78%
 674		81.78%
 675		81.78%
 676		81.78%
 677		81.78%
 678		81.78%
 679		81.78%
 680		81.78%
 681		81.78%
 682		81.78%
 683		81.78%
 684		81.78%
 685		81.78%
 686		81.78%
 687		81.78%
 688		81.78%
 689		81.78%
 690		81.78%
 691		81.78%
 692		81.78%
 693		81.78%
 694		81.78%
 695		81.78%
 696		81.78%
 697		81.78%
 698		81.78%
 699		81.78%
 700		81.78%
 701		81.78%
 702		81.78%
 703		81.78%
 704		81.78%
 705		81.78%
 706		81.78%
 707		81.78%
 708		81.78%
 709		81.78%
 710		81.78%
 711		81.78%
 712		81.78%
 713		81.78%
 714		81.78%
 715		81.78%
 716		81.78%
 717		81.78%
 718		81.78%
 719		81.78%
 720		81.78%
 721		81.78%
 722		81.78%
 723		81.78%
 724		81.78%
 725		81.78%
 726		81.78%
 727		81.78%
 728		81.78%
 729		81.78%
 730		81.78%
 731		81.78%
 732		81.78%
 733		81.78%
 734		81.78%
 735		81.78%
 736		81.78%
 737		81.78%
 738		81.78%
 739		81.78%
 740		81.78%
 741		81.78%
 742		81.78%
 743		81.78%
 744		81.78%
 745		81.78%
 746		81.78%
 747		81.78%
 748		81.78%
 749		81.78%
 750		81.78%
 751		81.78%
 752		81.78%
 753		81.78%
 754		81.78%
 755		81.78%
 756		81.78%
 757		81.78%
 758		81.78%
 759		81.78%
 760		81.78%
 761		81.78%
 762		81.78%
 763		81.78%
 764		81.78%
 765		81.78%
 766		81.78%
 767		81.78%
 768		81.78%
 769		81.78%
 770		81.78%
 771		81.78%
 772		81.78%
 773		81.78%
 774		81.78%
 775		81.78%
 776		81.78%
 777		81.78%
 778		81.78%
 779		81.78%
 780		81.78%
 781		81.78%
 782		81.78%
 783		81.78%
 784		81.78%
 785		81.78%
 786		81.78%
 787		81.78%
 788		81.78%
 789		81.78%
 790		81.78%
 791		81.78%
 792		81.78%
 793		81.78%
 794		81.78%
 795		81.78%
 796		81.78%
 797		81.78%
 798		81.78%
 799		81.78%
 800		81.78%
 801		81.78%
 802		81.78%
 803		81.78%
 804		81.78%
 805		81.78%
 806		81.78%
 807		81.78%
 808		81.78%
 809		81.78%
 810		81.78%
 811		81.78%
 812		81.78%
 813		81.78%
 814		81.78%
 815		81.78%
 816		81.78%
 817		81.78%
 818		81.78%
 819		81.78%
 820		81.78%
 821		81.78%
 822		81.78%
 823		81.78%
 824		81.78%
 825		81.78%
 826		81.78%
 827		81.78%
 828		81.78%
 829		81.78%
 830		81.78%
 831		81.78%
 832		81.78%
 833		81.78%
 834		81.78%
 835		81.78%
 836		81.78%
 837		81.78%
 838		81.78%
 839		81.78%
 840		81.78%
 841		81.78%
 842		81.78%
 843		81.78%
 844		81.78%
 845		81.78%
 846		81.78%
 847		81.78%
 848		81.78%
 849		81.78%
 850		81.78%
 851		81.78%
 852		81.78%
 853		81.78%
 854		81.78%
 855		81.78%
 856		81.78%
 857		81.78%
 858		81.78%
 859		81.78%
 860		81.78%
 861		81.78%
 862		81.78%
 863		81.78%
 864		81.78%
 865		81.78%
 866		81.78%
 867		81.78%
 868		81.78%
 869		81.78%
 870		81.78%
 871		81.78%
 872		81.78%
 873		81.78%
 874		81.78%
 875		81.78%
 876		81.78%
 877		81.78%
 878		81.78%
 879		81.78%
 880		81.78%
 881		81.78%
 882		81.78%
 883		81.78%
 884		81.78%
 885		81.78%
 886		81.78%
 887		81.78%
 888		81.78%
 889		81.78%
 890		81.78%
 891		81.78%
 892		81.78%
 893		81.78%
 894		81.78%
 895		81.78%
 896		81.78%
 897		81.78%
 898		81.78%
 899		81.78%
 900		81.78%
 901		81.78%
 902		81.78%
 903		81.78%
 904		81.78%
 905		81.78%
 906		81.78%
 907		81.78%
 908		81.78%
 909		81.78%
 910		81.78%
 911		81.78%
 912		81.78%
 913		81.78%
 914		81.78%
 915		81.78%
 916		81.78%
 917		81.78%
 918		81.78%
 919		81.78%
 920		81.78%
 921		81.78%
 922		81.78%
 923		81.78%
 924		81.78%
 925		81.78%
 926		81.78%
 927		81.78%
 928		81.78%
 929		81.78%
 930		81.78%
 931		81.78%
 932		81.78%
 933		81.78%
 934		81.78%
 935		81.78%
 936		81.78%
 937		81.78%
 938		81.78%
 939		81.78%
 940		81.78%
 941		81.78%
 942		81.78%
 943		81.78%
 944		81.78%
 945		81.78%
 946		81.78%
 947		81.78%
 948		81.78%
 949		81.78%
 950		81.78%
 951		81.78%
 952		81.78%
 953		81.78%
 954		81.78%
 955		81.78%
 956		81.78%
 957		81.78%
 958		81.78%
 959		81.78%
 960		81.78%
 961		81.78%
 962		81.78%
 963		81.78%
 964		81.78%
 965		81.78%
 966		81.78%
 967		81.78%
 968		81.78%
 969		81.78%
 970		81.78%
 971		81.78%
 972		81.78%
 973		81.78%
 974		81.78%
 975		81.78%
 976		81.78%
 977		81.78%
 978		81.78%
 979		81.78%
 980		81.78%
 981		81.78%
 982		81.78%
 983		81.78%
 984		81.78%
 985		81.78%
 986		81.78%
 987		81.78%
 988		81.78%
 989		81.78%
 990		81.78%
 991		81.78%
 992		81.78%
 993		81.78%
 994		81.78%
 995		81.78%
 996		81.78%
 997		81.78%
 998		81.78%
 999		81.78%
 1000		81.78%
