epoch	accuracy
 1		72.50%
 2		74.87%
 3		79.97%
 4		79.48%
 5		81.88%
 6		80.28%
 7		80.28%
 8		81.88%
 9		80.48%
 10		80.28%
 11		80.28%
 12		79.98%
 13		80.58%
 14		75.78%
 15		78.88%
 16		77.48%
 17		80.58%
 18		80.78%
 19		81.08%
 20		80.58%
 21		80.28%
 22		80.78%
 23		80.58%
 24		83.68%
 25		79.78%
 26		80.18%
 27		80.98%
 28		80.98%
 29		81.28%
 30		81.68%
 31		81.48%
 32		79.68%
 33		78.08%
 34		77.78%
 35		79.38%
 36		82.08%
 37		81.08%
 38		80.58%
 39		81.58%
 40		79.38%
 41		81.08%
 42		81.48%
 43		78.28%
 44		77.48%
 45		77.78%
 46		82.28%
 47		79.98%
 48		79.68%
 49		80.38%
 50		81.88%
 51		80.08%
 52		78.28%
 53		80.58%
 54		78.38%
 55		80.28%
 56		79.08%
 57		81.08%
 58		81.48%
 59		79.48%
 60		81.88%
 61		79.88%
 62		80.18%
 63		80.68%
 64		80.98%
 65		82.08%
 66		81.18%
 67		81.58%
 68		79.98%
 69		81.28%
 70		81.08%
 71		79.88%
 72		82.78%
 73		81.58%
 74		80.78%
 75		81.48%
 76		81.88%
 77		80.58%
 78		82.08%
 79		81.38%
 80		81.18%
 81		80.58%
 82		80.68%
 83		82.38%
 84		82.08%
 85		82.48%
 86		81.88%
 87		82.48%
 88		82.18%
 89		81.58%
 90		81.78%
 91		82.28%
 92		81.18%
 93		81.98%
 94		81.98%
 95		81.68%
 96		81.98%
 97		82.78%
 98		81.78%
 99		82.08%
 100		81.88%
 101		81.38%
 102		81.78%
 103		81.58%
 104		81.38%
 105		81.88%
 106		81.68%
 107		81.98%
 108		81.08%
 109		81.78%
 110		82.08%
 111		80.78%
 112		81.98%
 113		81.98%
 114		81.48%
 115		81.78%
 116		81.58%
 117		81.78%
 118		82.08%
 119		81.58%
 120		81.28%
 121		81.78%
 122		81.08%
 123		82.08%
 124		80.88%
 125		80.88%
 126		81.78%
 127		80.78%
 128		81.78%
 129		81.88%
 130		81.08%
 131		80.68%
 132		81.48%
 133		81.28%
 134		81.38%
 135		81.78%
 136		81.08%
 137		81.08%
 138		81.08%
 139		81.48%
 140		80.98%
 141		81.48%
 142		80.98%
 143		81.78%
 144		80.98%
 145		81.18%
 146		81.68%
 147		81.58%
 148		81.48%
 149		81.68%
 150		81.78%
 151		80.68%
 152		81.88%
 153		81.38%
 154		81.28%
 155		81.58%
 156		81.78%
 157		82.08%
 158		81.98%
 159		80.88%
 160		81.28%
 161		81.28%
 162		81.98%
 163		81.98%
 164		82.08%
 165		81.98%
 166		81.98%
 167		81.98%
 168		81.98%
 169		80.58%
 170		81.78%
 171		81.78%
 172		81.78%
 173		81.78%
 174		81.78%
 175		81.78%
 176		81.78%
 177		81.78%
 178		81.78%
 179		81.78%
 180		81.78%
 181		81.78%
 182		81.78%
 183		81.78%
 184		81.78%
 185		81.78%
 186		81.78%
 187		81.78%
 188		81.78%
 189		81.78%
 190		81.78%
 191		81.78%
 192		81.78%
 193		81.78%
 194		81.78%
 195		81.78%
 196		81.78%
 197		81.78%
 198		81.78%
 199		81.78%
 200		81.78%
 201		81.78%
 202		81.78%
 203		81.78%
 204		81.78%
 205		81.78%
 206		81.78%
 207		81.78%
 208		81.78%
 209		81.78%
 210		81.78%
 211		81.78%
 212		81.78%
 213		81.78%
 214		81.78%
 215		81.78%
 216		81.78%
 217		81.78%
 218		81.78%
 219		81.78%
 220		81.78%
 221		81.78%
 222		81.78%
 223		81.78%
 224		81.78%
 225		81.78%
 226		81.78%
 227		81.78%
 228		81.78%
 229		81.78%
 230		81.78%
 231		81.78%
 232		81.78%
 233		81.78%
 234		81.78%
 235		81.78%
 236		81.78%
 237		81.78%
 238		81.78%
 239		81.78%
 240		81.78%
 241		81.78%
 242		81.78%
 243		81.78%
 244		81.78%
 245		81.78%
 246		81.78%
 247		81.78%
 248		81.78%
 249		81.78%
 250		81.78%
 251		81.78%
 252		81.78%
 253		81.78%
 254		81.78%
 255		81.78%
 256		81.78%
 257		81.78%
 258		81.78%
 259		81.78%
 260		81.78%
 261		81.78%
 262		81.78%
 263		81.78%
 264		81.78%
 265		81.78%
 266		81.78%
 267		81.78%
 268		81.78%
 269		81.78%
 270		81.78%
 271		81.78%
 272		81.78%
 273		81.78%
 274		81.78%
 275		81.78%
 276		81.78%
 277		81.78%
 278		81.78%
 279		81.78%
 280		81.78%
 281		81.78%
 282		81.78%
 283		81.78%
 284		81.78%
 285		81.78%
 286		81.78%
 287		81.78%
